Source	Target	Weight
377508099	9260522	1
377508099	12393132	1
377508099	46126167	1
377508099	70104728	1
377508099	118099391	1
377508099	121726988	1
377508099	128332174	1
377508099	143764294	1
377508099	151085945	1
377508099	188026600	1
377508099	192149280	1
377508099	211707846	1
377508099	213111693	1
377508099	232223987	1
377508099	254506976	2
377508099	259900988	1
377508099	273450926	2
377508099	280194085	1
377508099	284981841	1
377508099	304576865	3
377508099	352186412	1
377508099	372483103	1
377508099	383372125	1
377508099	424333686	1
377508099	487592431	1
377508099	606394671	4
377508099	1280737226	1
377508099	1621394504	1
377508099	1910582641	1
377508099	2892333743	1
377508099	2894409411	1
377508099	2983311779	1
377508099	3126942690	1
377508099	3288256781	1
377508099	3377188721	1
377508099	1068532851111616514	1
377508099	1193797296426758144	1
14831896	17229160	1
14831896	17884106	1
14831896	18177126	1
14831896	30486575	7
14831896	62521094	1
14831896	80965423	1
14831896	84564157	1
14831896	87679233	1
14831896	90958611	1
14831896	97237364	1
14831896	111561268	5
14831896	113128540	1
14831896	113646015	1
14831896	120227894	1
14831896	134508024	1
14831896	181474229	1
14831896	187594920	10
14831896	243419961	1
14831896	245777550	1
14831896	249122306	1
14831896	253466094	1
14831896	271168582	1
14831896	271567977	1
14831896	283701345	1
14831896	286227755	1
14831896	292464252	1
14831896	300967175	1
14831896	318541441	1
14831896	342247274	1
14831896	371486328	1
14831896	497825722	1
14831896	557099769	1
14831896	588202549	4
14831896	635067444	1
14831896	763382833	1
14831896	826261914	2
14831896	843904904	1
14831896	902092087	1
14831896	951943230	1
14831896	1068208362	1
14831896	1282121312	1
14831896	1300297094	1
14831896	1642882182	1
14831896	1954238774	1
14831896	2157225504	1
14831896	2197423633	1
14831896	2323721401	1
14831896	2335864922	1
14831896	2835451658	1
14831896	2956795149	1
14831896	3010842317	1
14831896	3065395437	2
14831896	3075335795	1
14831896	3165652065	1
14831896	3216470950	1
14831896	4802510361	1
14831896	4848823419	1
14831896	726083197323321349	1
14831896	845571660090671104	2
14831896	872208838585397252	1
14831896	875324201690968064	1
14831896	879801541443674113	1
14831896	893882873488519169	1
14831896	895977445727272960	1
14831896	919823775784407040	1
14831896	945636875913650176	1
14831896	953812510318186497	1
14831896	957687326142025730	1
14831896	1008658699509002240	1
14831896	1023305224826572801	1
14831896	1027273487805759489	3
14831896	1033668427054030848	1
14831896	1062805441854488576	1
14831896	1069567165781680128	1
14831896	1094762324097822720	2
14831896	1174960615326044160	1
14831896	1181389823791243264	1
14831896	1293554569310502913	2
383275044	213214331	1
383275044	245890612	1
383275044	266114143	2
383275044	322126448	1
383275044	332901252	1
383275044	407106885	2
383275044	455697160	1
383275044	597158387	23
383275044	1331726551	1
383275044	2157225504	64
383275044	3087175574	1
383275044	3904858348	16
383275044	4905988678	1
383275044	951033329968734208	15
383275044	952560175231184897	1
383275044	954051548677660674	1
383275044	963855329472778240	2
383275044	1009425246770868224	2
383275044	1046773035859103745	2
383275044	1053217770027077633	1
383275044	1057248206642384896	1
383275044	1111774021992046594	1
383275044	1170762021501095939	1
383275044	1223516795602112513	5
383275044	1234150538230534146	3
383275044	1238620579164553216	1
383275044	1248947283867185153	1
256237072	55157298	3
256237072	121410987	3
256237072	126678638	1
256237072	222933199	7
256237072	265744991	1
256237072	857303965	1
256237072	1494100669	1
256237072	2455472280	3
256237072	3164819962	1
256237072	3441065895	1
256237072	779433847427567616	1
256237072	799395712429674496	1
256237072	856590732907433985	1
256237072	932987243127541761	1
256237072	999735960144408576	1
256237072	1142822579926945792	2
256237072	1143645890051289088	2
256237072	1169193008513867782	1
256237072	1201952964656730112	2
256237072	1219123093857357824	2
