Source	Target	Weight
419410223	17248326	1
419410223	19923515	1
419410223	25073877	1
419410223	50256927	1
419410223	122710521	1
419410223	186446304	1
419410223	225855505	1
419410223	260788584	2
419410223	265596870	1
419410223	268799470	1
419410223	282722867	1
419410223	294625019	1
419410223	307446104	1
419410223	336722471	1
419410223	344715663	2
419410223	361294831	1
419410223	415413447	1
419410223	433580758	1
419410223	479421345	1
419410223	550321814	2
419410223	602687573	7
419410223	1002587472	1
419410223	1103881548	3
419410223	1104043980	3
419410223	1123001234	1
419410223	1140044016	1
419410223	1318048670	1
419410223	1321004695	3
419410223	1336882422	1
419410223	1726382402	1
419410223	2350238511	1
419410223	2445155565	1
419410223	2909280747	1
419410223	2937263277	1
419410223	3003313497	2
419410223	3094998622	1
419410223	3152296384	1
419410223	3240107932	2
419410223	3292757927	1
419410223	3326683235	1
419410223	3359284941	1
419410223	4137391431	1
419410223	4186893053	1
419410223	4705892423	4
419410223	4864060588	1
419410223	793316702327021568	1
419410223	832986477197983753	1
419410223	840592769320116224	1
419410223	879801541443674113	1
419410223	916917617348235265	6
419410223	937039729685655553	2
419410223	949686449452003328	6
419410223	962286020485054464	1
419410223	965199904997036032	1
419410223	985239395509985280	1
419410223	1002624060386435072	1
419410223	1041051289281589249	1
419410223	1046782796608524288	1
419410223	1083789225965879296	1
419410223	1101131968878690305	1
419410223	1136236737326395393	1
419410223	1146012849929621504	1
419410223	1164150598700322816	2
419410223	1192029678128766977	1
419410223	1192821523515617281	1
419410223	1194928610131562498	1
419410223	1213499306600062977	1
419410223	1220476174041862146	2
419410223	1235103490189352960	1
419410223	1244291337274437632	1
419410223	1249255108967387138	1
419410223	1273569561166700545	1
419410223	1289216005579976710	1
419410223	1299637606242754561	1
419410223	1311643645464977409	2
419410223	1318647991813681154	1
419410223	1320770224778547200	1
788778646139965440	14525982	1
788778646139965440	20909329	1
788778646139965440	24787367	1
788778646139965440	25073877	4
788778646139965440	29547555	1
788778646139965440	39344374	1
788778646139965440	48579013	1
788778646139965440	64423855	1
788778646139965440	94324983	1
788778646139965440	121859642	1
788778646139965440	149621959	1
788778646139965440	210559030	3
788778646139965440	300964654	1
788778646139965440	425119821	1
788778646139965440	458328284	4
788778646139965440	541697427	1
788778646139965440	2241227238	1
788778646139965440	2296655965	1
788778646139965440	2523616074	1
788778646139965440	2982836117	1
788778646139965440	3246006233	1
788778646139965440	3246091258	1
788778646139965440	909016634110640128	1
788778646139965440	921870486732021760	9
788778646139965440	995201784925818880	1
788778646139965440	1018040736330190849	1
788778646139965440	1028370274994073600	1
788778646139965440	1042047121778724869	4
788778646139965440	1060498864271228933	2
788778646139965440	1079381916934131712	2
788778646139965440	1131375580644073474	2
788778646139965440	1134503131797106688	5
920225387677995008	7908342	1
920225387677995008	11358652	1
920225387677995008	11611502	2
920225387677995008	13346352	1
920225387677995008	14274516	1
920225387677995008	14771674	1
920225387677995008	15909060	1
920225387677995008	19002571	1
920225387677995008	21027587	1
920225387677995008	49449999	1
920225387677995008	51567084	2
920225387677995008	69266917	1
920225387677995008	80278085	1
920225387677995008	85380453	1
920225387677995008	91119844	1
920225387677995008	91337201	2
920225387677995008	94534362	1
920225387677995008	107235284	1
920225387677995008	110949757	1
920225387677995008	116787454	1
920225387677995008	144945116	1
920225387677995008	154202270	1
920225387677995008	154986574	1
920225387677995008	182836552	2
920225387677995008	210922936	1
920225387677995008	241241391	1
920225387677995008	242478585	1
920225387677995008	249364151	1
920225387677995008	250801453	6
920225387677995008	254230849	1
920225387677995008	257092082	1
920225387677995008	265522919	1
920225387677995008	273169020	1
920225387677995008	284981841	1
920225387677995008	305839468	1
920225387677995008	331334153	1
920225387677995008	338682647	1
920225387677995008	343507680	1
920225387677995008	384854961	1
920225387677995008	431859434	1
920225387677995008	511843282	2
920225387677995008	514399725	1
920225387677995008	535153760	1
920225387677995008	564590928	1
920225387677995008	628226028	1
920225387677995008	830738172	1
920225387677995008	872317758	1
920225387677995008	964605500	3
920225387677995008	1149791846	1
920225387677995008	1183842373	1
920225387677995008	1186149476	1
920225387677995008	1291262382	1
920225387677995008	1307838374	1
920225387677995008	1311292028	1
920225387677995008	1441037888	1
920225387677995008	1528872169	1
920225387677995008	1868132671	1
920225387677995008	2149579122	1
920225387677995008	2327065590	1
920225387677995008	2363031587	1
920225387677995008	2373539204	1
920225387677995008	2530752409	1
920225387677995008	2765799328	1
920225387677995008	3288256781	1
920225387677995008	3343845251	3
920225387677995008	3395436645	1
920225387677995008	4172142683	2
920225387677995008	4182468561	1
920225387677995008	4190053767	3
920225387677995008	4703390322	2
920225387677995008	704634582394654720	2
920225387677995008	747510427190444032	1
920225387677995008	748670080116994048	1
920225387677995008	760978102952554496	1
920225387677995008	774989807944605697	1
920225387677995008	815750087192219648	1
920225387677995008	830540439824584705	1
920225387677995008	835125421817593859	1
920225387677995008	838178824005242881	1
920225387677995008	908021399889039360	1
920225387677995008	918529065321148421	1
920225387677995008	919470103061843968	1
920225387677995008	919918831811874818	1
920225387677995008	920705134346297344	1
920225387677995008	922151805127151617	1
920225387677995008	922457652881510400	1
920225387677995008	935548398618533889	3
920225387677995008	959085872548401154	1
920225387677995008	967513857127276545	1
920225387677995008	990369273372700673	1
920225387677995008	1037968519143600128	1
920225387677995008	1081168493091962880	1
920225387677995008	1154416362065977345	1
920225387677995008	1189485435455713285	1
920225387677995008	1224367757208293377	1
920225387677995008	1244057090521468934	1
920225387677995008	1255547972076658693	1
920225387677995008	1263255283708702722	1
920225387677995008	1275863378335010816	1
809542603624554496	1124722303	1
809542603624554496	1570794781	1
809542603624554496	2210865044	1
809542603624554496	2754746065	2
809542603624554496	844672741106204674	1
809542603624554496	959222618279890944	1
809542603624554496	974358455854215170	1
809542603624554496	1148365174212059138	2
809542603624554496	1232778822472413184	1
809542603624554496	1280500927099736066	1
2894747794	15271200	1
2894747794	16567397	1
2894747794	16718692	1
2894747794	17248326	6
2894747794	18949241	1
2894747794	19923515	4
2894747794	29270179	1
2894747794	33884545	1
2894747794	60855010	1
2894747794	65858141	1
2894747794	78106895	1
2894747794	87659574	1
2894747794	94413714	1
2894747794	108364427	1
2894747794	126439901	1
2894747794	126465001	1
2894747794	138913188	1
2894747794	140034129	1
2894747794	144600462	1
2894747794	156233693	3
2894747794	156523002	1
2894747794	166100601	1
2894747794	173541298	1
2894747794	187594920	1
2894747794	192834709	1
2894747794	194639409	1
2894747794	219363505	1
2894747794	234113882	1
2894747794	249122306	5
2894747794	252203942	1
2894747794	257332880	1
2894747794	271872039	1
2894747794	273883340	1
2894747794	276658955	1
2894747794	286132274	2
2894747794	292464252	1
2894747794	297347533	2
2894747794	316029348	1
2894747794	337602483	1
2894747794	344164977	4
2894747794	355203159	1
2894747794	363647672	1
2894747794	384211578	1
2894747794	397867366	1
2894747794	421845565	1
2894747794	422733727	1
2894747794	449146064	1
2894747794	455697160	1
2894747794	460499728	2
2894747794	495288613	1
2894747794	497825722	2
2894747794	523386042	1
2894747794	540126091	1
2894747794	816891384	1
2894747794	817444080	1
2894747794	843904904	1
2894747794	902092087	1
2894747794	974809158	1
2894747794	978932870	1
2894747794	1111965626	1
2894747794	1215520928	1
2894747794	1336580959	1
2894747794	1434111235	1
2894747794	1458192955	1
2894747794	1667660245	1
2894747794	1978128902	1
2894747794	2188819951	8
2894747794	2223841798	2
2894747794	2375108808	2
2894747794	2419517701	1
2894747794	2469850765	1
2894747794	2767102498	1
2894747794	2819381883	1
2894747794	2835451658	1
2894747794	2946543660	1
2894747794	3014465871	4
2894747794	3030988839	1
2894747794	3152296384	1
2894747794	3245455319	1
2894747794	3309116567	1
2894747794	3360748235	4
2894747794	3439292716	2
2894747794	3813163757	1
2894747794	4032209655	5
2894747794	4229241075	2
2894747794	4708468360	3
2894747794	4856566870	1
2894747794	709312028415029248	1
2894747794	743456072673992704	1
2894747794	793316702327021568	2
2894747794	804071774182903808	1
2894747794	804392942517501952	1
2894747794	825146148335865856	1
2894747794	838460211367129089	1
2894747794	840592769320116224	1
2894747794	848550912046100480	2
2894747794	875046468670894084	2
2894747794	879801541443674113	12
2894747794	905511030981365760	1
2894747794	908126495201263616	1
2894747794	916401484841082880	1
2894747794	917409032167706629	1
2894747794	918490448632664064	4
2894747794	920923623547920385	1
2894747794	923524354339758082	3
2894747794	928881373959675909	1
2894747794	933309177623121921	1
2894747794	956912991244570624	1
2894747794	965333013948182529	1
2894747794	969217144486588417	1
2894747794	974247229027385345	1
2894747794	1022229783323795456	1
2894747794	1034799593953943552	2
2894747794	1045403527072428032	1
2894747794	1047898815917953030	1
2894747794	1049010304242384898	1
2894747794	1069740205928796161	1
2894747794	1083332217940701188	1
2894747794	1097164306041442304	1
2894747794	1113868962314559488	1
2894747794	1140358335843229696	1
2894747794	1158010906590289920	1
2894747794	1183821675688857602	1
2894747794	1191496762902663171	1
2894747794	1218276466636599299	1
2894747794	1225858464083214336	1
2894747794	1238443508622557184	1
2894747794	1240951487947292674	1
2894747794	1255474935415410691	1
2894747794	1255994334278750209	2
2894747794	1267389948640079872	1
2894747794	1297779653856419841	1
2894747794	1311778174099955715	1
2894747794	1316357678130769921	1
2894747794	1319910379263320066	1
2250030927	806043	1
2250030927	14436030	9
2250030927	17308245	4
2250030927	17617127	1
2250030927	19375314	1
2250030927	19923515	1
2250030927	21121637	1
2250030927	23719107	1
2250030927	26778965	1
2250030927	29110681	3
2250030927	29270179	1
2250030927	34152718	1
2250030927	36556932	1
2250030927	42151971	1
2250030927	42302742	1
2250030927	42434332	1
2250030927	43105334	1
2250030927	45742049	1
2250030927	53678101	1
2250030927	53778621	1
2250030927	55990367	1
2250030927	60751951	3
2250030927	61097151	1
2250030927	62558322	1
2250030927	64252221	1
2250030927	65858141	1
2250030927	72627916	2
2250030927	73948999	3
2250030927	79289858	1
2250030927	80047141	3
2250030927	81202321	3
2250030927	82664640	1
2250030927	87659574	1
2250030927	89799361	2
2250030927	107058741	1
2250030927	108632445	1
2250030927	108994652	1
2250030927	115544486	1
2250030927	115604864	1
2250030927	120607709	1
2250030927	131519051	1
2250030927	133945128	1
2250030927	140034129	1
2250030927	156289017	1
2250030927	220055314	2
2250030927	224332521	1
2250030927	226981611	1
2250030927	247234101	1
2250030927	249122306	1
2250030927	252513309	1
2250030927	260016002	1
2250030927	260788584	2
2250030927	264145263	1
2250030927	266066285	3
2250030927	269032621	1
2250030927	271168582	1
2250030927	279563084	1
2250030927	295572206	2
2250030927	298786442	1
2250030927	307549658	3
2250030927	317340029	1
2250030927	320145391	1
2250030927	346720029	1
2250030927	407709450	2
2250030927	421845565	1
2250030927	457981102	1
2250030927	494516394	1
2250030927	523386042	1
2250030927	593952938	1
2250030927	723776635	1
2250030927	822146886	1
2250030927	876092845	22
2250030927	974809158	1
2250030927	1118941682	3
2250030927	1291025954	1
2250030927	1410380994	8
2250030927	1458192955	4
2250030927	1610496259	1
2250030927	1726382402	1
2250030927	2201623465	7
2250030927	2216589010	1
2250030927	2223841798	1
2250030927	2228816504	1
2250030927	2281394311	1
2250030927	2319548007	1
2250030927	2334661493	1
2250030927	2361800418	1
2250030927	2742341086	1
2250030927	2801618691	1
2250030927	3014465871	1
2250030927	3018165370	1
2250030927	3091560148	7
2250030927	3512934022	1
2250030927	3904858348	2
2250030927	4092641837	1
2250030927	4525423215	1
2250030927	755561508411731968	1
2250030927	773003748360785920	1
2250030927	825146148335865856	2
2250030927	908126495201263616	1
2250030927	908629539609341952	1
2250030927	918490448632664064	1
2250030927	932321656416108544	1
2250030927	1034799593953943552	1
2250030927	1045257214670368768	1
2250030927	1109573601995440129	1
2250030927	1136236737326395393	1
2250030927	1167573453454622720	1
2250030927	1221702677073223681	4
2250030927	1225020505494892546	1
2250030927	1235103490189352960	1
2250030927	1264522193498767360	1
2250030927	1271568225617227779	1
2250030927	1294734211543445505	1
2250030927	1298636330105278464	1
2250030927	1312886778047664129	1
2250030927	1315986618055110656	1
572419996	11358652	1
572419996	11611502	1
572419996	12723412	1
572419996	13777542	1
572419996	21869922	1
572419996	27675374	1
572419996	32937695	4
572419996	34453123	1
572419996	37883400	1
572419996	38381308	1
572419996	43877830	1
572419996	56341472	1
572419996	64019370	6
572419996	80705314	1
572419996	87818409	1
572419996	94324983	3
572419996	100731315	2
572419996	107235284	1
572419996	120257115	1
572419996	121146038	1
572419996	121410987	2
572419996	121820357	1
572419996	151085945	1
572419996	152169542	1
572419996	154986574	1
572419996	155921067	1
572419996	184186065	1
572419996	189971995	1
572419996	210922936	3
572419996	212649968	1
572419996	214112280	1
572419996	232168294	1
572419996	237232100	1
572419996	249364151	2
572419996	250801453	2
572419996	254230849	2
572419996	255092527	1
572419996	273169020	1
572419996	276005081	1
572419996	280477631	2
572419996	285112683	1
572419996	299017781	1
572419996	301141732	1
572419996	302228107	2
572419996	338682647	2
572419996	348228016	1
572419996	349109593	2
572419996	359314002	1
572419996	364882229	1
572419996	367866899	1
572419996	369331245	1
572419996	385543555	2
572419996	390545466	1
572419996	402593346	2
572419996	412398862	1
572419996	428308122	1
572419996	447260411	1
572419996	483061210	2
572419996	535153760	4
572419996	535707261	1
572419996	541697427	1
572419996	609354097	1
572419996	636183519	1
572419996	740637702	1
572419996	830738172	1
572419996	863223450	1
572419996	912939938	1
572419996	971624767	1
572419996	995297070	1
572419996	1041915498	1
572419996	1183842373	1
572419996	1281187602	2
572419996	1428222109	1
572419996	1499289019	1
572419996	1552726424	1
572419996	1864247245	1
572419996	1912129124	2
572419996	1962699368	1
572419996	1970859560	1
572419996	2221768555	1
572419996	2296633356	1
572419996	2331874855	2
572419996	2456213226	2
572419996	2578286633	2
572419996	2796512266	1
572419996	2936443882	1
572419996	3374563353	1
572419996	3395436645	2
572419996	3441065895	1
572419996	3963101903	2
572419996	4041432814	4
572419996	4172142683	1
572419996	4186911203	1
572419996	4190053767	2
572419996	4703390322	1
572419996	4813170027	1
572419996	704634582394654720	4
572419996	705378392565227520	2
572419996	717416609527279616	1
572419996	738330471017353217	1
572419996	759378710239842305	1
572419996	776269374801973248	2
572419996	786833353957867522	1
572419996	787714184188424192	1
572419996	899663880871436289	1
572419996	908391817430925312	2
572419996	911266324881567744	1
572419996	911967872695586816	1
572419996	914468799235149824	1
